순번,구,가맹점,주소,동
5456,유성구,시장 정육점,대전광역시 유성구 궁동 22-3,궁동
38026,중구,시장닭집,"대전광역시 중구 대둔산로420번길 10, 103동 101호 (산성동,삼창금빛아파트상가)",산성동
23616,중구,시장닭집,"대전광역시 중구 대둔산로420번길 10, 상가 101호 (산성동,삼창금빛아파트)",산성동
18667,동구,시장방앗간,"대전광역시 동구 용운로 168,109호(용운동,종합상가)",용운동
36309,유성구,시장보리밥식당,"대전광역시 유성구 유성대로730번길 33, 1층 (장대동)",장대동
19540,대덕구,시장상회,"대전광역시 대덕구 석봉로37번길 46-4,(석봉동)",석봉동
28974,서구,시장스시,"대전광역시 서구 만년로18번길 9, 1층 (만년동)",만년동
13788,유성구,시장유통,"대전광역시 유성구 원내동 93-10,11",원내동
8665,유성구,시장이레손만두,"대전광역시 유성구 구즉로 74-15, 나동 1층 108호 (송강동)",송강동
22847,동구,시장정육점,대전광역시 동구 동서대로1678번길 41 (성남동),성남동
11537,유성구,시장철물점,대전광역시 유성구 유성대로730번길 24 (장대동),장대동
37084,대덕구,시전사,"대전광역시 대덕구 대청로 4, 1층 (신탄진동)",신탄진동
20141,서구,시정약국,대전광역시 서구 도산로 197 (변동),변동
22924,중구,시쥬,"대전광역시 중구 중앙로 지하 145, 지하상가 C-가 12호 (은행동)",은행동
32786,서구,시즌글라스 탄방점,"대전광역시 서구 계룡로585번길 4, 1층 시즌글라스 탄방점 (탄방동)",탄방동
21845,서구,시청비타민약국,"대전광역시 서구 둔산중로 50, 1층 113,113-1호 (둔산동,파이낸스빌딩)",둔산동
3109,유성구,시카고 플란트 치과의원,대전광역시 유성구 자운로97번길 290 (신봉동),신봉동
37095,대덕구,시카고영어수학전문학원,"대전광역시 대덕구 동춘당로 165, 2층 (법동)",법동
215,서구,시카고치과의원,"대전광역시 서구 둔산중로 50,406호(둔산동,파이낸스빌딩)",둔산동
21659,서구,시카고피자,"대전광역시 서구 둔산로 134, 202호 (둔산동,아베스빌딩)",둔산동
35548,서구,시퀀스칩,"대전광역시 서구 관저남로12번길 15-18, 1층 상가 (관저동)",관저동
8372,서구,시크릿,"대전광역시 서구 관저동로 86, 402호 (관저동)",관저동
12437,유성구,시크릿,"대전광역시 유성구 은구비서로3번길 8-23, 1층 (지족동)",지족동
